rank,city,aspect_mentions,unique_aspects,mean_sentiment,median_sentiment,std_sentiment,min_sentiment,max_sentiment,top_positive_aspect,top_negative_aspect
1,Hohhot,8,8,5.0,5.0,0.0,5.0,5.0,delicacies,delicacies
2,Cincinnati,5,5,5.0,5.0,0.0,5.0,5.0,food scene,food scene
3,Kensington,7,7,5.0,5.0,0.0,5.0,5.0,area suitability for families,area suitability for families
4,Passau,3,3,5.0,5.0,0.0,5.0,5.0,old town,old town
5,Coral Coast,4,4,5.0,5.0,0.0,5.0,5.0,hiking,hiking
6,Ferrara,3,3,5.0,5.0,0.0,5.0,5.0,day trip,day trip
7,Belfort,3,3,5.0,5.0,0.0,5.0,5.0,castle,castle
8,Yen Bai,6,6,5.0,5.0,0.0,5.0,5.0,attraction value,attraction value
9,Shigatse,4,4,5.0,5.0,0.0,5.0,5.0,karola glacier,karola glacier
10,Musanze,6,6,5.0,5.0,0.0,5.0,5.0,environmental conservation,environmental conservation
11,Colmar,3,3,5.0,5.0,0.0,5.0,5.0,colmar,colmar
12,Newcastle,3,3,5.0,5.0,0.0,5.0,5.0,accommodation,accommodation
13,Palawan,3,3,5.0,5.0,0.0,5.0,5.0,island experience,island experience
14,Siquijor,5,5,5.0,5.0,0.0,5.0,5.0,beaches,beaches
15,Quilotoa,3,3,5.0,5.0,0.0,5.0,5.0,hiking,hiking
16,Theth,3,2,5.0,5.0,0.0,5.0,5.0,hiking,hiking
17,Ponta Delgada,3,3,5.0,5.0,0.0,5.0,5.0,accommodation,accommodation
18,Samaipata,3,3,5.0,5.0,0.0,5.0,5.0,activities,activities
19,Symi,4,3,5.0,5.0,0.0,5.0,5.0,harbor,harbor
20,Orosei,4,4,5.0,5.0,0.0,5.0,5.0,beaches,beaches
21,Orkney Islands,3,3,5.0,5.0,0.0,5.0,5.0,archaeological sites,archaeological sites
22,Rovinj,3,3,5.0,5.0,0.0,5.0,5.0,accommodation,accommodation
23,Chobe,5,5,5.0,5.0,0.0,5.0,5.0,day trip,day trip
24,Viareggio,4,4,5.0,5.0,0.0,5.0,5.0,accommodation options,accommodation options
25,Therasia,4,4,5.0,5.0,0.0,5.0,5.0,accommodation,accommodation
26,Gosau,3,3,5.0,5.0,0.0,5.0,5.0,lake experience,lake experience
27,Montalcino,3,3,5.0,5.0,0.0,5.0,5.0,atmosphere,atmosphere
28,Girona,3,3,5.0,5.0,0.0,5.0,5.0,attraction,attraction
29,Tasmania,3,3,5.0,5.0,0.0,5.0,5.0,food scene,food scene
30,Chachapoyas valley,3,3,5.0,5.0,0.0,5.0,5.0,birdwatching,birdwatching
31,Nagoya,3,3,5.0,5.0,0.0,5.0,5.0,attractions,attractions
32,Jeju Island,3,3,5.0,5.0,0.0,5.0,5.0,overall experience,overall experience
33,Kraków,5,5,5.0,5.0,0.0,5.0,5.0,affordability,affordability
34,Pokhara,3,3,5.0,5.0,0.0,5.0,5.0,lakeside activities in pokhara,lakeside activities in pokhara
35,Sauraha,3,3,5.0,5.0,0.0,5.0,5.0,chitwan national park,chitwan national park
36,Turin,7,7,5.0,5.0,0.0,5.0,5.0,accessibility,accessibility
37,Eguisheim,6,6,5.0,5.0,0.0,5.0,5.0,atmosphere,atmosphere
38,Amboseli,4,4,5.0,5.0,0.0,5.0,5.0,hot air balloon ride,hot air balloon ride
